	for_query	tweet	username	date	hashtags	likes	retweets	url	cluster
3	Justice system	America does not have a justice system, we have barbaric system of institutionalized racism and classism. There is no justice or humanity in it. Abolish the death penalty. Demand prison reform.	shakeandbakebb	Fri Dec 11 07:21:35 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337296456496066563	0
51	Justice system	Glenn Loury: 'We're Being Swept Along by Hysteria' About Racism in America https://t.co/TzqOio5KxY If he thinks that abuse and mistreatment of black people by the justice system are exaggerated it compromises his ability to have a meaningful discourse on the issue.	calvincito99	Thu Dec 10 12:05:32 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337005527440691201	1
4	Justice system	and it's even more upsetting because of the blatant racism in the justice system in america. may he rest in peace and i hope one day there will be real justice in america and in the world.	yukikoinnit	Fri Dec 11 12:16:10 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337370589401657344	0
54	Justice system	"Starbucks Names Mellody Hobson Chair in Gain for Black Directors - Bloomberg

This is great news but it flies in the face of BLM and all the social justice clowns that claim there’s systemic racism in America.

 https://t.co/d3URTFz7ML"	notsostout	Wed Dec 09 14:48:11 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1336684072161128448	1
0	All lives matter	My church will replace our Black Lives Matter sign. Will America replace its racist myth?| “It mattered not that the land was ours. It mattered not that the sign was ours. “ https://t.co/AOtZfk8Kkc	newsollie	Wed Dec 16 12:31:48 +0000 2020	['BLM']	1	1	https://twitter.com/twitter/statuses/1339186465272717312	0
11	All lives matter	My THIS IS AMERICA Livestream Mix inspired by the Black Lives Matter Movement and the shit-show #2020Election is now LIVE on my https://t.co/4lCTHHDWth and https://t.co/15sTUy536Z Listen, Vibe $ Subscribe! #blm #femaledj #fuckthepolice #fuckdonaldtrump #ladj https://t.co/j8JomxXAnM	CaliMiles	Sat Dec 12 04:23:19 +0000 2020	['BLM']	4	0	https://twitter.com/twitter/statuses/1337613982941597696	1
1	All lives matter	"@oliviaolivelivv @HuffPost The question is why is all lives matter so offended by #blacklivesmatter 
If all lives matter whats so bad about black lives matter? The saying isn’t only black lives matter
Y’all know that,y’all just want to be mad all the time and Defend America when America be on bullshit alot"	lifeosabrina	Wed Dec 16 05:33:51 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1339081282949668866	0
83	All lives matter	"Black Lives Matter is dedicated to the implementation of Marxism in America.

Marxism is the exact opposite of civil rights.

BLM is lying to you. https://t.co/qzlXjn0Ymy"	TheRealMcKeever	Sat Dec 12 15:28:23 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337781349931831298	1
2	All lives matter	"DC AME pastor William Lamar: Our Black Lives Matter sign was vandalized. America must abandon its white supremacist god. ”It mattered not that the land was ours. It mattered not that the sign was ours. The mythology that motivated the perpetrators on 1/
 https://t.co/boc4JhqsGO"	RonLebow	Wed Dec 16 00:37:40 +0000 2020	['BLM']	8	2	https://twitter.com/twitter/statuses/1339006744828076032	0
235	All lives matter	"Black Lives Matter is a threat to America.
✊🏿🆚🇺🇸

#BlackLivesMatter #BLM #BroDiallo #AWO #AWC #Racism #StatusQuo #Capitalism

@deltastar_digital 
@africanworldorder @ South Side, Chicago https://t.co/a92Stlg0cq"	diallokenyatta	Wed Dec 16 22:48:03 +0000 2020	['BLM']	2	1	https://twitter.com/twitter/statuses/1339341549759574030	1
3	All lives matter	BLACK LIVES DO FUCKING MATTER!!!!! We aren’t saying ALL lives don’t matter we are making a point that racism is a thing and In America there is too much racism	Razer261	Sat Dec 12 01:47:14 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337574702919847938	0
246	All lives matter	"The intersection of the coronavirus pandemic and the Black Lives Matter movement is told from the perspective of America's youth in former Chattanoogan Canedy Knowles' newest short film, ""(Dis)Connected."" https://t.co/w0dTtSNQUO"	TimesFreePress	Wed Dec 09 18:00:01 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1336732345311825921	1
4	All lives matter	BLM is a Domestic Terrorist Organization and should be treated as such. ALL LIVES MATTER and BLM does not care about other people's lives THEY MUST BE TAKEN DOWN! 💯🇺🇲AMERICA FIRST!	TurnVTRed	Sun Dec 13 18:46:16 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1338193537087795204	0
248	All lives matter	"Black Lives Matter is being run by LGBQ members who do not have the interest of all ""Blacks"" and they are starting to show themselves... Keep Watching America....... #blm #WeThePeople #dems #africanamerican #history https://t.co/jDe0kKv7rF"	Hurrikane43	Sat Dec 12 23:52:41 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337908262704975874	1
